company,brand_name,country,product_category,contact_name,email_address,address,license_number,pdf,certification_body,expiry_date,product_details
AA CANVAS COMPANY,,"India (IN), Delhi","Fabrics, Product category (other)",ASHOK KUMAR,mailto:ashok@aacanvas.co,"177-A, Azad Market, 110006, DELHI",217155,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44043?task=download_certificate,Ecocert Greenlife,12/31/2024,BagsWoven Fabrics (PD0059)handbagspouches (PD0024)totes
"A. Ferreira - Sociedade Têxteis, Lda",,Portugal (PT),Fabrics,,,"Travessa Santa Cruz, Nº 75, 4755-246, Góios - Barcelos , Braga",CB-GOTS-CUC-03- 1015956,,Control Union Certifications,11/19/2024,"Undyed fabrics (PC0027) Knitted fabrics (PD0058)
Dyed fabrics (PC0025) Knitted fabrics (PD0058)
Undyed yarns (PC0031) Normally combed yarns (PD0102)"
A. Ferreira & Filhos S.A.,,Portugal (PT),"Babywear, Garments, Home Textiles",,,"Rua Amaro de Sousa, 480 - Ap. 66, 4816-901, Vizela, Braga",CB-GOTS-CUC-03- 1015660,,Control Union Certifications,6/9/2024,"Babies' apparel (PC0003) Babies' clothing (PD0013) 100.0%Organic Cotton (RM0104) Organic
Babies' apparel (PC0003) Babies' clothing (PD0013) 20.0%Camel (RM0014) 80.0%Organic Cotton (RM0104) Organic
Babies' apparel (PC0003) Babies' clothing (PD0013) 5.0%Cashmere (RM0020) 95.0%Organic Cotton (RM0104) Organic
Home textiles (PC0010) Blanketsbedspreadsbedspreadsbedspreadscapscardigans (PD0004) 100.0%Organic Cotton (RM0104) Organiccardigans (PD0004) 100.0%Organic Cotton (RM0104) Organic
Unisex apparel (PC0005) Hatshead coverings [Gorro] (PD0030) 100.0%Organic Cotton (RM0104) Organic
Unisex apparel (PC0005) Scarveskitchen linenpulloverspulloversquilts (PD0019) 100.0%In Conversion Cotton (RM0103) Organic - In Conversion
Home textiles (PC0010) Blanketsquilts (PD0019) 100.0%Organic Cotton (RM0104) Organic
Home textiles (PC0010) Blanketsquilts (PD0019) 100.0%Organic Wool (RM0079) Organic
Home textiles (PC0010) Towelsshawlstoilet linen (PD0017) 100.0%Organic Cotton (RM0104) Organic
Men's apparel (PC0001) Sweatersveils [Cachecol] (PD0028) 100.0%Organic Cotton (RM0104) Organic
Women's apparel (PC0002) Sweaters"
A. G. DRESSES LIMITED.,,"Bangladesh (BD), Dhaka","Babywear, Ladieswear, Children's wear, Men's wear",Hasan,,"Plot # 09, Block # C, Tongi I/A, Himardighi, 1710, Tongi",USB 004153,,USB Certification,8/1/2024,"Pantsblouses (PD0005) - 100% organic cotton (RM0104)
Pantsblouses (PD0005) - 95% organic cotton (RM0104) + 5% elastane (RM0160)
Pantsblouses (PD0005) - 95% organic cotton (RM0104) + 5% viscose (rayon) (RM0238)skirts (PD0011) - 100% organic cotton (RM0104)
Pantstrousers (PD0003) - 100% organic cotton (RM0104)
Shirtstrousers (PD0003) - 90% organic cotton (RM0104) + 5% viscose (rayon) (RM0238) + 5% elastane (RM0160)
Shirtstrousers (PD0003) - 95% organic cotton (RM0104) + 5% elastane (RM0160)
Dressestrousers (PD0003) - 95% organic cotton (RM0104) + 5% viscose (rayon) (RM0238)
Babies clothing (PD0013) - 100% organic cotton (RM0104)
Shirts"
"A. J. Gonçalves, S.A.",,Portugal (PT),Accessories,,,"Avenida Covedelo, Nº 28; Apartado 2485, 4705-400, Celeirós , Braga",1048944,,Control Union Certifications,11/18/2024,"Women's apparel (PC0002) Sockshosiery (PD0009)hosiery (PD0009)
Children's apparel (PC0004) Sockshosiery (PD0009)
Men's apparel (PC0001) Sockshosiery (PD0009)
Unisex apparel (PC0005) Socks"
A. J. Textile Mills Limited,,Pakistan (PK),"Raw Fibres, Yarns",,mailto:zahid.ali@azizgrp.com,"Plot No. 209, Road No. 6, Gadoon Industrial Estate, Gadoon Amazai,",CU 819172,,Control Union Certifications,2/14/2024,"Greige yarns (PC0030) Carded yarns (PD0067) 100.0%Organic Cotton (RM0104) 
 Greige yarns (PC0030) Carded yarns (PD0067) 95.0%Organic Cotton (RM0104) 5.0%Elastane (Spandex) (RM0160) 
 Greige yarns (PC0030) Carded yarns (PD0067) 2.0%Elastane (Spandex) (RM0160) 98.0%Organic Cotton (RM0104) 
 Greige yarns (PC0030) Normally combed yarns (PD0102) 100.0%Organic Cotton (RM0104)
 Undyed fibers (PC0034) Comber noil (PD0082) 100.0%Organic Cotton (RM0104)"
A. Kudrešovo Firma,,Lithuania (LT),"Ladieswear, Garments",Vaida Petkūnienė,mailto:vaida@kudreshov.com,"R. Kalantos Str. 28, 52494, Kaunas",CERES-1008,,Ceres,9/7/2024,BrassieresT-shirts singlets (PD0007)Undergarment sleepwear robes (PD0006)garters (PD0012)suspenders
A. Sampaio & Filhos - Têxteis S.A.,,Portugal (PT),Fabrics,,,"Rua S. Bento da Batalha,76, 4780-547, Santo Tirso",CB-GOTS-CUC-03- 855955,,Control Union Certifications,2/11/2024,"Dyed fabrics (PC0025) Knitted fabrics (PD0058) 100.0%Organic Cotton (RM0104) Organic
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 100.0%Organic Wool (RM0079) Organic
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 70.0%Organic Cotton (RM0104) 30.0%Flax (Linen) (RM0108) Made With Organic
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 78.0%Organic Cotton (RM0104) 22.0%Flax (Linen) (RM0108) Made With Organic
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 78.0%Organic Cotton (RM0104) 22.0%Recycled pre/post-consumer Polyester (RM0187) Made With Organic
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 3.0%Elastane (Spandex) (RM0160) 17.0%Recycled pre/post-consumer Polyester (RM0187)
80.0%Organic Cotton (RM0104) Made With Organic
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 13.0%Recycled pre/post-consumer Polyester (RM0187) 87.0%Organic Cotton (RM0104) Made With
Organic – In Conversion
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 8.0%Recycled pre/post-consumer Polyester (RM0187) 3.0%Elastane (Spandex) (RM0160)
89.0%Organic Cotton (RM0104) Made With Organic
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 10.0%Elastane (Spandex) (RM0160) 90.0%Organic Cotton (RM0104) Made With Organic
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 92.0%Organic Cotton (RM0104) 8.0%Elastane (Spandex) (RM0160) Made With Organic
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 5.0%Elastane (Spandex) (RM0160) 95.0%Organic Cotton (RM0104) Organic
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 96.0%Organic Cotton (RM0104) 4.0%Elastane (Spandex) (RM0160) Organic
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 3.0%Elastane (Spandex) (RM0160) 97.0%Organic Cotton (RM0104) Organic
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 98.0%Organic Cotton (RM0104) 2.0%Elastane (Spandex) (RM0160) Organic
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 1.0%Elastane (Spandex) (RM0160) 99.0%Organic Cotton (RM0104) Organic
Undyed fabrics (PC0027) Knitted fabrics (PD0058) 87.0%Organic Cotton (RM0104) 13.0%Recycled pre/post-consumer Polyester
(RM0187) Made With Organic
Undyed fabrics (PC0027) Knitted fabrics (PD0058) 2.0%Elastane (Spandex) (RM0160) 98.0%Organic Cotton (RM0104) Organic
Undyed fabrics (PC0027) Knitted fabrics (PD0058) 100.0%Organic Cotton (RM0104) Organic
Undyed yarns (PC0031) Normally combed yarns (PD0102) 100.0%Organic Cotton (RM0104) Organic"
A.B EXPORTS PVT LTD,,Pakistan (PK),"Ladieswear, Fabrics, Men's wear, Home Textiles",,,"CHAK#120 RB, LASSANI PULLI, KHYABAN GARDEN, SARGODHA ROAD, 38000, Faisalabad",USB 005678,,USB Certification,5/23/2024,"Woven fabrics (PD0059) - 100% organic cotton (RM0104)
Shirtsbed sheets (PD0015) - 100% organic silk (RM0067)blouses (PD0005) - 100% organic cotton (RM0104)
T-shirtssinglets (PD0007) - 100% organic cotton (RM0104)
Pantstrousers (PD0003) - 100% organic cotton (RM0104)
Bed linen"
A.C.TEXTILE MILLS,,"India (IN), Tamil Nadu","Fabrics, Yarns",,,"RASAGOUNDENPALAYAM, PALLADAM, D/NO.2/1286,178/1,2 MANICKAPURAM ROAD,, 641664, TIRUPUR",281244,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44175?task=download_certificate,Ecocert Greenlife,12/26/2024,"Greige fabrics (PC0026) - Woven fabrics (PD0059)
Greige yarns (PC0030) - Open-end yarns (PD0066)"
