company,brand_name,country,product_category,contact_name,email_address,address,license_number,pdf,certification_body,expiry_date,product_details
A1 COTTON NET FABRIC,,"India (IN), Tamil Nadu",Fabrics,,,"1/386, THANGAVEL COMPOUND, ERODE MAIN ROAD, AUTHUR PIRIVU, AATHUR, 639 002, KARUR,",223448,,Intertek Testing Services,3/15/2024,
A1 COTTON NET FABRIC,,"India (IN), Tamil Nadu",Fabrics,,,"1/386, THANGAVEL COMPOUND, ERODE MAIN ROAD, AUTHUR PIRIVU, AATHUR, 639002, KARUR,",223448,,Intertek Testing Services,3/15/2024,"Dyed fabrics | PC0025
Greige fabrics | PC0026
Undyed fabrics | PC0027"
AA CANVAS COMPANY,,"India (IN), Delhi","Fabrics, Product category (other)",ASHOK KUMAR,mailto:ashok@aacanvas.co,"177-A, Azad Market, 110006, DELHI",217155,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44043?task=download_certificate,Ecocert Greenlife,12/31/2024,BagsWoven Fabrics (PD0059)handbagspouches (PD0024)totes
AA CANVAS COMPANY,,"India (IN), Delhi","Fabrics, Product category (other)",ASHOK KUMAR,mailto:ashok@aacanvas.co,"177-A, Azad Market, 110006, DELHI",217155,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/44043?task=download_certificate,Ecocert Greenlife,12/31/2024,BagsWoven Fabrics (PD0059)handbagspouches (PD0024)totes
AAA Solutions,,Pakistan (PK),"Ladieswear, Men's wear",Rehan Majeed Khan,,"PLOT NO. 51, SECTOR-12/C, NORTH KARACHI INDUSTRIAL AREA,,, Karachi, 74600, Sindh",GCL-302247,,GCL International,5/7/2024,"Men's Apparel (PC0001) Pantscardigans (PD0004) 100% Organic Cotton (RM0104)cardigans (PD0004) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) Sweaterspulloverspulloverssinglets (PD0007) 100% Organic Cotton (RM0104) 
Men's Apparel (PC0001) Sweaterssinglets (PD0007) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) T shirtstrousers (PD0003) 100% Organic Cotton (RM0104) 
Men's Apparel (PC0001) T shirtstrousers (PD0003) 100% Organic Cotton (RM0104) 
Women's Apparel (PC0002) Pants"
AAA Solutions,,Pakistan (PK),"Ladieswear, Men's wear",,,"Plot No. 51, Sector-12/C, North Karachi Industrial Area, Karachi Central North Karachi Town, Karachi, 74600, Sindh, PK-SD, Pakistan , PK, 74600, Sindh",GOTS-20200879,,GSCS,5/7/2024,PantsSweatersT-shirtscardigans (PD0004)pulloverssinglets (PD0007)trousers (PD0003)
Ahmed Socks Industries,,"Bangladesh (BD), Dhaka",Garments,,,,CGI-700370,,Clean Globe International,11/18/2024,
Ahmed Socks Industries,,"Bangladesh (BD), Dhaka",Socks,,,,CGI-700370,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/43451?task=download_certificate,Clean Globe International,11/8/2024,Sockshosiery (PD0009)
Amazing Fashions Ltd.,,"Bangladesh (BD), Dhaka","Babywear, Ladieswear, Children's wear, Fabrics, Men's wear",,,,CGI-700293-GOTS-2023-01,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/42200?task=download_certificate,Clean Globe International,6/7/2024,Active wearBabies clothing (PD0013)Carded yarns (PD0067)Knitted fabrics (PD0058)Normally combed yarns (PD0102)OvercoatsPantShirtsSuitsSweatersT-shirtsblouses (PD0005)cardigans (PD0004)jacketspulloverssinglets (PD0007)sportswear (PD0008)suit & pants (PD0002)trousers (PD0003)vests (PD0001)
Amazing Fashions Ltd.,,"Bangladesh (BD), Dhaka","Babywear, Ladieswear, Children's wear, Fabrics, Men's wear",,,,CGI-700293,,Clean Globe International,6/7/2024,
Amko Exports,,"India (IN), Uttar Pradesh","Fabrics, Accessories, Home Textiles",,,"A-1, B. S. ROAD INDL. AREA, GHAZIABAD 201009, Uttar Pradesh, India, A-1, B. S. ROAD INDL., 201009, Uttar Pradesh",GOTS- BVIN0074,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/43097?task=download_certificate,Bureau Veritas,6/13/2024,
Amko Exports,,"India (IN), Uttar Pradesh","Accessories, Fabrics, Home Textiles",,,"A-1, B. S. ROAD INDL. AREA, GHAZIABAD 201009, Uttar Pradesh, India",GOTS- BVIN0074,,Bureau Veritas,6/13/2024,
Anam Clothing Ltd.,,"Bangladesh (BD), Dhaka","Babywear, Children's wear, Ladieswear, Men's wear",,,,G700185,,Clean Globe International,2/23/2024,
Anam Clothing Ltd.,,"Bangladesh (BD), Dhaka","Babywear, Children's wear, Garments, Ladieswear, Men's wear",,,,CG700185-GOTS2023-01,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/40639?task=download_certificate,Clean Globe International,2/23/2024,Babies clothing (PD0013)DressesOvercoatsPantSweatersT-shirtsTops (PD0073)Undergarmentcardigans (PD0004)jacketspulloversrobes (PD0006)singlets (PD0007)skirts (PD0011)sleepweartrousers (PD0003)vests (PD0001)
Andersen-Andersen,,Denmark (DK),"Ladieswear, Men's wear, Accessories",,,"Gammeltorv 6, 1457, Copenhagen",CU 1206706,,Control Union Certifications,5/8/2024,
Andersen-Andersen,,Denmark (DK),"Ladieswear, Men's wear, Accessories",,,"Gammeltorv 6, 1457, Copenhagen K",1206706,,Control Union Certifications,5/8/2024,
Atam Apparels Pvt. Ltd.,,"India (IN), Himachal Pradesh","Accessories, Fabrics",,,"Plot No.9C, Sector-3, Parwanoo, Tehsil-Kasauli, Dist.-Solan,173220, Himachal Pradesh, India",GOTS-BVIN0072,,Bureau Veritas,5/3/2024,
Atam Apparels Pvt. Ltd.,,"India (IN), Himachal Pradesh","Accessories, Fabrics",,,"Plot No. 9C, Sector- 3, Parwanoo, Tehsil- Kasauli, 173220 Dist. Solan, Himachal Pradesh India, Plot No. 9C, Sector- 3, Parwanoo,, 173220, Himachal Pradesh",GOTS-BVIN0072,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/43098?task=download_certificate,Bureau Veritas,5/3/2024,
Bangla Poshak Limited,,"Bangladesh (BD), Dhaka","Babywear, Ladieswear, Children's wear, Men's wear, Garments",,,,CG700210-GOTS2023-01,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/40709?task=download_certificate,Clean Globe International,2/9/2024,Other [Track SuitsOvercoatsPantsShirtsShorts] (PD0100)T shirtsblouses (PD0005)jacketssinglets (PD0007)trousers (PD0003)vests (PD0001)
Bangla Poshak Limited,,"Bangladesh (BD), Dhaka","Babywear, Ladieswear, Children's wear",,,,CG700210,,Clean Globe International,2/9/2024,
This certificate is currently not valid,,Vinay,,,,,,,,,
This certificate is currently not valid,,Md. Kabir Ahmed,,,,,,,,,
This certificate is currently not valid,,S.,,,,,,,,,
